date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
07:58:52	19714/19714	---M--	200	added ('OK')	text/html	date:Thu,%2010%20Mar%202022%2023:58:52%20GMT	http://ticketmaster-us.herokuapp.com/tw-ny?sec=FLR4&row=4	C:/My%20Web%20Sites/Ticketmaster/ticketmaster-us.herokuapp.com/tw-ny0212.html	(from )
07:58:53	232/232	---M--	404	error ('NOT%20FOUND')	text/html	date:Thu,%2010%20Mar%202022%2023:58:52%20GMT	http://ticketmaster-us.herokuapp.com/robots.txt		(from )
07:58:53	1410/1410	---M--	200	added ('OK')	image/png	etag:%221646637134.0-1410-3914863108%22	http://ticketmaster-us.herokuapp.com/static/images/android-launchericon-144-144.png	C:/My%20Web%20Sites/Ticketmaster/ticketmaster-us.herokuapp.com/static/images/android-launchericon-144-144.png	(from http://ticketmaster-us.herokuapp.com/tw-ny?sec=FLR4&row=4)
07:58:53	950/950	---M--	200	added ('OK')	application/json	etag:%221646637134.0-950-2180057544%22	http://ticketmaster-us.herokuapp.com/static/manifest2.json	C:/My%20Web%20Sites/Ticketmaster/ticketmaster-us.herokuapp.com/static/manifest2.json	(from http://ticketmaster-us.herokuapp.com/tw-ny?sec=FLR4&row=4)
07:58:54	232/232	---M--	404	error ('NOT%20FOUND')	text/html	date:Thu,%2010%20Mar%202022%2023:58:53%20GMT	http://ticketmaster-us.herokuapp.com/static/favicon.ico	C:/My%20Web%20Sites/Ticketmaster/ticketmaster-us.herokuapp.com/static/favicon.ico	(from http://ticketmaster-us.herokuapp.com/tw-ny?sec=FLR4&row=4)
07:58:54	4395/4395	---M--	200	added ('OK')	text/css	etag:%221646637134.0-4395-1438189567%22	http://ticketmaster-us.herokuapp.com/static/style.css	C:/My%20Web%20Sites/Ticketmaster/ticketmaster-us.herokuapp.com/static/style.css	(from http://ticketmaster-us.herokuapp.com/tw-ny?sec=FLR4&row=4)
07:58:55	55026/55026	---M-Z	200	added ('OK')	application/javascript	etag:%225eb03ec4-d6f2%22	https://cdnjs.cloudflare.com/ajax/libs/jquery/1.3.0/jquery.min.js	C:/My%20Web%20Sites/Ticketmaster/cdnjs.cloudflare.com/ajax/libs/jquery/1.3.0/jquery.min.js	(from http://ticketmaster-us.herokuapp.com/tw-ny?sec=FLR4&row=4)
07:58:56	241135/241135	---M--	200	added ('OK')	image/jpeg	etag:%22I5fNrzmUM+f5/d6bVu8IxoQ8NfkUtUk6BB8tgx20fHk%22	https://s1.ticketm.net/dam/a/8a1/8cd0fadf-6058-4da5-8831-b4414cdc68a1_1558811_TABLET_LANDSCAPE_LARGE_16_9.jpg	C:/My%20Web%20Sites/Ticketmaster/s1.ticketm.net/dam/a/8a1/8cd0fadf-6058-4da5-8831-b4414cdc68a1_1558811_TABLET_LANDSCAPE_LARGE_16_9.jpg	(from http://ticketmaster-us.herokuapp.com/tw-ny?sec=FLR4&row=4)
07:58:57	232/232	---M--	404	error ('NOT%20FOUND')	text/html	date:Thu,%2010%20Mar%202022%2023:58:57%20GMT	http://ticketmaster-us.herokuapp.com/3	C:/My%20Web%20Sites/Ticketmaster/ticketmaster-us.herokuapp.com/3	(from http://ticketmaster-us.herokuapp.com/tw-ny?sec=FLR4&row=4)
07:58:59	21228/21228	---M--	200	added ('OK')	image/png	date:Fri,%2029%20Oct%202021%2017:48:01%20GMT	https://developer.apple.com/wallet/add-to-apple-wallet-guidelines/images/button-one-line-large_2x.png	C:/My%20Web%20Sites/Ticketmaster/developer.apple.com/wallet/add-to-apple-wallet-guidelines/images/button-one-line-large_2x.png	(from http://ticketmaster-us.herokuapp.com/tw-ny?sec=FLR4&row=4)
07:58:59	29512/29512	---M--	200	added ('OK')	image/jpeg	etag:%221646637134.0-29512-1873479956%22	http://ticketmaster-us.herokuapp.com/static/verified.jpg	C:/My%20Web%20Sites/Ticketmaster/ticketmaster-us.herokuapp.com/static/verified.jpg	(from http://ticketmaster-us.herokuapp.com/tw-ny?sec=FLR4&row=4)
07:59:04	28408/28408	---M--	200	added ('OK')	font/woff2	etag:%221646637134.0-28408-328666660%22	http://ticketmaster-us.herokuapp.com/static/fonts/Averta-Regular.woff2	C:/My%20Web%20Sites/Ticketmaster/ticketmaster-us.herokuapp.com/static/fonts/Averta-Regular.woff2	(from http://ticketmaster-us.herokuapp.com/static/style.css)
07:59:06	27356/27356	---M--	200	added ('OK')	font/woff2	etag:%221646637134.0-27356-551620193%22	http://ticketmaster-us.herokuapp.com/static/fonts/Averta-SemiBold.woff2	C:/My%20Web%20Sites/Ticketmaster/ticketmaster-us.herokuapp.com/static/fonts/Averta-SemiBold.woff2	(from http://ticketmaster-us.herokuapp.com/static/style.css)
